Period start,Period end,Region ID,Region,Demand (GWh),Demand ($)
01/01/2023 00:00:00,01/01/2023 00:30:00,NZ,New Zealand,1.803,5693.38
01/01/2023 00:30:00,01/01/2023 01:00:00,NZ,New Zealand,1.769,7487.46
01/01/2023 01:00:00,01/01/2023 01:30:00,NZ,New Zealand,1.735,6092.74
01/01/2023 01:30:00,01/01/2023 02:00:00,NZ,New Zealand,1.695,10082.28
01/01/2023 02:00:00,01/01/2023 02:30:00,NZ,New Zealand,1.661,7641.17
01/01/2023 02:30:00,01/01/2023 03:00:00,NZ,New Zealand,1.623,4648.85
01/01/2023 03:00:00,01/01/2023 03:30:00,NZ,New Zealand,1.603,48.09
01/01/2023 03:30:00,01/01/2023 04:00:00,NZ,New Zealand,1.59,78.68
01/01/2023 04:00:00,01/01/2023 04:30:00,NZ,New Zealand,1.59,47.7
01/01/2023 04:30:00,01/01/2023 05:00:00,NZ,New Zealand,1.599,47.96
01/01/2023 05:00:00,01/01/2023 05:30:00,NZ,New Zealand,1.636,2344.67
01/01/2023 05:30:00,01/01/2023 06:00:00,NZ,New Zealand,1.668,4898.21
01/01/2023 06:00:00,01/01/2023 06:30:00,NZ,New Zealand,1.702,8802.74
01/01/2023 06:30:00,01/01/2023 07:00:00,NZ,New Zealand,1.733,7572.33
01/01/2023 07:00:00,01/01/2023 07:30:00,NZ,New Zealand,1.779,6727
01/01/2023 07:30:00,01/01/2023 08:00:00,NZ,New Zealand,1.834,2936.17
01/01/2023 08:00:00,01/01/2023 08:30:00,NZ,New Zealand,1.892,56.83
01/01/2023 08:30:00,01/01/2023 09:00:00,NZ,New Zealand,1.947,58.48
01/01/2023 09:00:00,01/01/2023 09:30:00,NZ,New Zealand,2.033,61.05
01/01/2023 09:30:00,01/01/2023 10:00:00,NZ,New Zealand,2.07,7596.01
01/01/2023 10:00:00,01/01/2023 10:30:00,NZ,New Zealand,2.091,12037.59
01/01/2023 10:30:00,01/01/2023 11:00:00,NZ,New Zealand,2.096,11063.78
01/01/2023 11:00:00,01/01/2023 11:30:00,NZ,New Zealand,2.097,11142.74
01/01/2023 11:30:00,01/01/2023 12:00:00,NZ,New Zealand,2.096,11652.29
01/01/2023 12:00:00,01/01/2023 12:30:00,NZ,New Zealand,2.091,10181.74
01/01/2023 12:30:00,01/01/2023 13:00:00,NZ,New Zealand,2.079,11417.49
01/01/2023 13:00:00,01/01/2023 13:30:00,NZ,New Zealand,2.063,62.08
01/01/2023 13:30:00,01/01/2023 14:00:00,NZ,New Zealand,2.049,61.48
01/01/2023 14:00:00,01/01/2023 14:30:00,NZ,New Zealand,2.05,67.23
01/01/2023 14:30:00,01/01/2023 15:00:00,NZ,New Zealand,2.059,67.39
01/01/2023 15:00:00,01/01/2023 15:30:00,NZ,New Zealand,2.04,61.72
01/01/2023 15:30:00,01/01/2023 16:00:00,NZ,New Zealand,2.058,62.24
01/01/2023 16:00:00,01/01/2023 16:30:00,NZ,New Zealand,2.076,68.62
01/01/2023 16:30:00,01/01/2023 17:00:00,NZ,New Zealand,2.099,1568.4
01/01/2023 17:00:00,01/01/2023 17:30:00,NZ,New Zealand,2.124,3034.54
01/01/2023 17:30:00,01/01/2023 18:00:00,NZ,New Zealand,2.15,11297.63
01/01/2023 18:00:00,01/01/2023 18:30:00,NZ,New Zealand,2.151,9497.03
01/01/2023 18:30:00,01/01/2023 19:00:00,NZ,New Zealand,2.148,10578.16
01/01/2023 19:00:00,01/01/2023 19:30:00,NZ,New Zealand,2.11,9884.26
01/01/2023 19:30:00,01/01/2023 20:00:00,NZ,New Zealand,2.09,10514.91
01/01/2023 20:00:00,01/01/2023 20:30:00,NZ,New Zealand,2.063,13194.17
01/01/2023 20:30:00,01/01/2023 21:00:00,NZ,New Zealand,2.055,19926.1
01/01/2023 21:00:00,01/01/2023 21:30:00,NZ,New Zealand,2.061,21641.88
01/01/2023 21:30:00,01/01/2023 22:00:00,NZ,New Zealand,2.037,19867.08
01/01/2023 22:00:00,01/01/2023 22:30:00,NZ,New Zealand,1.987,18654.59
01/01/2023 22:30:00,01/01/2023 23:00:00,NZ,New Zealand,1.922,10700.94
01/01/2023 23:00:00,01/01/2023 23:30:00,NZ,New Zealand,1.88,46485.55
01/01/2023 23:30:00,02/01/2023 00:00:00,NZ,New Zealand,1.816,12778.34
02/01/2023 00:00:00,02/01/2023 00:30:00,NZ,New Zealand,1.748,11347.72
02/01/2023 00:30:00,02/01/2023 01:00:00,NZ,New Zealand,1.704,8978.36
02/01/2023 01:00:00,02/01/2023 01:30:00,NZ,New Zealand,1.664,7798.03
02/01/2023 01:30:00,02/01/2023 02:00:00,NZ,New Zealand,1.629,7304.18
